Tên Sản Phẩm,Giá (VNĐ),Đã Bán,Tên Shop,Shop ID,Link Sản Phẩm
Laptop Dell Inspiron 15 3520 i5-1235U| 8GB| 256GB| Iris Xe | 15.6”| Win 11 + Office | BH 12 Tháng cũ.,17390000,0,Shop_ID_1499956970,1499956970,https://shopee.vn/Laptop-Dell-Inspiron-15-3520-i5-1235U-8GB-256GB-Iris-Xe--156-Win-11--Office--BH-12-Thng-c-i.1499956970.57606762494
Laptop Lenovo ThinkPad X1 Carbon Gen 8 | Core i5/i7-10210U | RAM 8/16GB | SSD 256GB/512GB  | Nhật Thành,8390000,20,Shop_ID_975121152,975121152,https://shopee.vn/Laptop-Lenovo-ThinkPad-X1-Carbon-Gen-8--Core-i5i7-10210U--RAM-816GB--SSD-256GB512GB---Nht-Thnh-i.975121152.41259464208
"Laptop Gaming Dell G7 7588 cấu hình cao, Core i7, Ram 8gb, ổ cứng SSD 256gb, cạc rời VGA GTX 1060, màn hình 15.6 FullHD",10800000,0,Shop_ID_1021994712,1021994712,https://shopee.vn/Laptop-Gaming-Dell-G7-7588-cu-hnh-cao-Core-i7-Ram-8gb--cng-SSD-256gb-cc-ri-VGA-GTX-1060-mn-hnh-156-FullHD-i.1021994712.22958000184
[HCM] Laptop Cũ HP Envy 15-j123TX Core I5-4200M/ Ram 8GB/ SSD 256GB/ VGA Nvidia GeForce GT 740M/ LCD 14.0'' inch,4400000,0,Shop_ID_1507141073,1507141073,https://shopee.vn/HCM-Laptop-C-HP-Envy-15-j123TX-Core-I5-4200M-Ram-8GB-SSD-256GB-VGA-Nvidia-GeForce-GT-740M-LCD-140-inch-i.1507141073.26135924178
"Laptop toshiba màn 12” siêu đẹp, mỏng, nhẹ, cấu hình cao",1648000,0,Shop_ID_885253225,885253225,https://shopee.vn/Laptop-toshiba-mn-12-siu-p-mng-nh-cu-hnh-cao-i.885253225.25540579596
Dell Latitude 7320 i7 1180G7 Detachable 13-Inch FHD+ cảm ứng tách rời phím,16489000,6,Shop_ID_196126372,196126372,https://shopee.vn/Dell-Latitude-7320-i7-1180G7-Detachable-13-Inch-FHD-cm-ng-tch-ri-phm-i.196126372.29463568125
Laptop Asus E 402 N3050/2GB/500GB hàng nhập khẩu giá rẻ siêu bền phù hợp văn phòng full box bảo hành 12 tháng,2200000,0,Shop_ID_96461069,96461069,https://shopee.vn/Laptop-Asus-E-402-N30502GB500GB-hng-nhp-khu-gi-r-siu-bn-ph-hp-vn-phng-full-box-bo-hnh-12-thng-i.96461069.1933839070
Laptop Dell XPS 7390 Mỏng Nhẹ | i5-10th | RAM 8GB | SSD 256GB | Máy Văn Phòng Like New,8800000,1,Shop_ID_800108490,800108490,https://shopee.vn/Laptop-Dell-XPS-7390-Mng-Nh--i5-10th--RAM-8GB--SSD-256GB--My-Vn-Phng-Like-New-i.800108490.22390263989
Laptop Dell inspiron 5510 Core i7 11370H/ Ram 32Gb/ SSD Mvme 512Gb/ 15.6'' IPS FHD/ Hiệu năng cao.,13250000,5,Shop_ID_504512,504512,https://shopee.vn/Laptop-Dell-inspiron-5510-Core-i7-11370H-Ram-32Gb-SSD-Mvme-512Gb-156-IPS-FHD-Hiu-nng-cao-i.504512.44174814431
LAPTOP DELL LATITUDE 3390 2 IN 1,5200000,0,Shop_ID_526818322,526818322,https://shopee.vn/LAPTOP-DELL-LATITUDE-3390-2-IN-1-i.526818322.55551453459
